ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
165,2020,邢台市,130500,河北省,东部,0,9244,1040,5436,2768,7638,241,4604,2793,
166,2021,邢台市,130500,河北省,东部,0,8865,997,4998,2870,9730,313,6279,3138,
167,2022,邢台市,130500,河北省,东部,0,8148,979,4620,2549,8682,479,5560,2643,
168,2023,邢台市,130500,河北省,东部,0,4777,866,2305,1606,7625,648,4435,2542,
169,2000,保定市,130600,河北省,东部,0,286,59,157,70,287,30,198,59,
170,2001,保定市,130600,河北省,东部,0,414,85,250,79,266,26,164,76,
171,2002,保定市,130600,河北省,东部,0,402,85,222,95,368,26,246,96,
172,2003,保定市,130600,河北省,东部,0,470,96,272,102,318,24,218,76,
173,2004,保定市,130600,河北省,东部,0,536,120,286,130,387,46,228,113,
174,2005,保定市,130600,河北省,东部,0,627,189,295,143,431,42,275,114,
175,2006,保定市,130600,河北省,东部,0,690,205,323,162,439,52,255,132,
176,2007,保定市,130600,河北省,东部,0,851,226,450,175,613,75,389,149,
177,2008,保定市,130600,河北省,东部,0,1015,246,549,220,794,71,565,158,
178,2009,保定市,130600,河北省,东部,0,1362,354,785,223,827,90,524,213,
179,2010,保定市,130600,河北省,东部,0,1634,473,883,278,1389,140,893,356,
180,2011,保定市,130600,河北省,东部,0,2619,749,1594,276,1766,230,1205,331,
181,2012,保定市,130600,河北省,东部,0,3524,1005,2025,494,2093,283,1468,342,
182,2013,保定市,130600,河北省,东部,0,4015,1463,1997,555,3339,386,2406,547,
183,2014,保定市,130600,河北省,东部,0,4121,1290,2133,698,3285,382,2308,595,
184,2015,保定市,130600,河北省,东部,0,4948,1462,2585,901,4154,792,2437,925,
185,2016,保定市,130600,河北省,东部,0,6832,1910,3506,1416,4837,969,2715,1153,
186,2017,保定市,130600,河北省,东部,0,9003,2398,5153,1452,5486,866,3294,1326,
187,2018,保定市,130600,河北省,东部,0,10412,2631,6058,1723,8074,844,5711,1519,
188,2019,保定市,130600,河北省,东部,0,13319,2685,8322,2312,8122,865,5350,1907,
189,2020,保定市,130600,河北省,东部,0,17282,3019,11742,2521,13103,896,9554,2653,
190,2021,保定市,130600,河北省,东部,0,20012,4120,12889,3003,17889,1138,13693,3058,
191,2022,保定市,130600,河北省,东部,0,18803,4058,12535,2210,20082,1592,16064,2426,
192,2023,保定市,130600,河北省,东部,0,10375,3802,5141,1432,14668,2101,10187,2380,
193,2000,张家口市,130700,河北省,东部,0,82,17,55,10,93,14,72,7,
194,2001,张家口市,130700,河北省,东部,0,93,17,72,4,59,6,45,8,
195,2002,张家口市,130700,河北省,东部,0,74,18,51,5,82,7,69,6,
196,2003,张家口市,130700,河北省,东部,0,95,26,60,9,59,4,49,6,
197,2004,张家口市,130700,河北省,东部,0,75,27,41,7,61,4,52,5,
198,2005,张家口市,130700,河北省,东部,0,80,26,48,6,63,6,48,9,
199,2006,张家口市,130700,河北省,东部,0,133,36,92,5,52,8,39,5,
200,2007,张家口市,130700,河北省,东部,0,167,46,105,16,117,7,107,3,
201,2008,张家口市,130700,河北省,东部,0,177,50,101,26,131,15,105,11,
202,2009,张家口市,130700,河北省,东部,0,192,53,129,10,152,9,113,30,
203,2010,张家口市,130700,河北省,东部,0,187,41,137,9,181,15,149,17,
204,2011,张家口市,130700,河北省,东部,0,237,70,144,23,168,15,145,8,
205,2012,张家口市,130700,河北省,东部,0,378,92,264,22,203,25,151,27,
206,2013,张家口市,130700,河北省,东部,0,521,187,313,21,413,26,359,28,
207,2014,张家口市,130700,河北省,东部,0,888,336,494,58,484,25,425,34,
208,2015,张家口市,130700,河北省,东部,0,1077,323,697,57,752,63,629,60,
209,2016,张家口市,130700,河北省,东部,0,1263,333,861,69,852,94,686,72,
210,2017,张家口市,130700,河北省,东部,0,1636,377,1152,107,991,107,829,55,
211,2018,张家口市,130700,河北省,东部,0,2065,564,1352,149,1336,106,1109,121,
212,2019,张家口市,130700,河北省,东部,0,2512,466,1830,216,1604,138,1290,176,
213,2020,张家口市,130700,河北省,东部,0,3917,698,2951,268,2544,130,2111,303,
214,2021,张家口市,130700,河北省,东部,0,3544,916,2386,242,3697,168,3265,264,
215,2022,张家口市,130700,河北省,东部,0,3246,923,2094,229,3049,255,2585,209,
216,2023,张家口市,130700,河北省,东部,0,1667,685,834,148,2461,310,1895,256,
217,2000,承德市,130800,河北省,东部,0,133,29,79,25,132,9,90,33,
218,2001,承德市,130800,河北省,东部,0,114,18,59,37,121,13,78,30,
219,2002,承德市,130800,河北省,东部,0,159,39,66,54,112,9,60,43,
220,2003,承德市,130800,河北省,东部,0,190,43,94,53,141,13,59,69,
221,2004,承德市,130800,河北省,东部,0,109,28,59,22,121,15,81,25,
222,2005,承德市,130800,河北省,东部,0,144,46,70,28,90,12,59,19,
223,2006,承德市,130800,河北省,东部,0,159,47,74,38,107,13,69,25,
224,2007,承德市,130800,河北省,东部,0,188,43,89,56,150,13,92,45,
225,2008,承德市,130800,河北省,东部,0,166,43,92,31,174,21,107,46,
226,2009,承德市,130800,河北省,东部,0,267,58,127,82,137,15,78,44,
227,2010,承德市,130800,河北省,东部,0,220,86,119,15,211,5,123,83,
228,2011,承德市,130800,河北省,东部,0,263,78,156,29,209,23,163,23,
229,2012,承德市,130800,河北省,东部,0,331,123,179,29,243,46,171,26,
230,2013,承德市,130800,河北省,东部,0,318,101,153,64,292,40,207,45,
231,2014,承德市,130800,河北省,东部,0,417,113,254,50,313,54,202,57,
232,2015,承德市,130800,河北省,东部,0,689,212,369,108,462,57,317,88,
233,2016,承德市,130800,河北省,东部,0,991,276,602,113,604,67,429,108,
234,2017,承德市,130800,河北省,东部,0,1492,360,987,145,778,81,598,99,
235,2018,承德市,130800,河北省,东部,0,1678,429,1047,202,1254,70,968,216,
236,2019,承德市,130800,河北省,东部,0,2273,458,1615,200,1295,108,1014,173,
237,2020,承德市,130800,河北省,东部,0,2855,553,2137,165,2142,149,1810,183,
238,2021,承德市,130800,河北省,东部,0,2868,590,2007,271,3016,224,2532,260,
239,2022,承德市,130800,河北省,东部,0,2709,740,1720,249,2557,248,2071,238,
240,2023,承德市,130800,河北省,东部,0,1423,518,774,131,2194,306,1642,246,
241,2000,沧州市,130900,河北省,东部,0,265,44,187,34,239,17,184,38,
242,2001,沧州市,130900,河北省,东部,0,277,36,205,36,259,20,203,36,
243,2002,沧州市,130900,河北省,东部,0,401,66,276,59,254,12,196,46,
244,2003,沧州市,130900,河北省,东部,0,382,69,247,66,338,16,249,73,
245,2004,沧州市,130900,河北省,东部,0,378,42,235,101,270,12,210,48,
246,2005,沧州市,130900,河北省,东部,0,504,66,321,117,363,11,248,104,
247,2006,沧州市,130900,河北省,东部,0,490,68,334,88,412,28,279,105,
248,2007,沧州市,130900,河北省,东部,0,584,81,340,163,495,21,394,80,
249,2008,沧州市,130900,河北省,东部,0,670,106,397,167,584,30,410,144,
250,2009,沧州市,130900,河北省,东部,0,773,147,400,226,614,28,388,198,
251,2010,沧州市,130900,河北省,东部,0,705,112,436,157,788,40,481,267,
252,2011,沧州市,130900,河北省,东部,0,932,167,539,226,797,60,501,236,
253,2012,沧州市,130900,河北省,东部,0,1290,203,808,279,863,76,564,223,
254,2013,沧州市,130900,河北省,东部,0,1328,283,809,236,1315,67,999,249,
255,2014,沧州市,130900,河北省,东部,0,1948,314,1295,339,1444,70,1072,302,
256,2015,沧州市,130900,河北省,东部,0,2739,500,1705,534,2215,128,1633,454,
257,2016,沧州市,130900,河北省,东部,0,3751,683,2227,841,2686,135,1824,727,
258,2017,沧州市,130900,河北省,东部,0,4700,561,3196,943,3035,224,2051,760,
259,2018,沧州市,130900,河北省,东部,0,6015,936,3802,1277,4910,219,3484,1207,
260,2019,沧州市,130900,河北省,东部,0,8514,951,5811,1752,4937,134,3442,1361,
261,2020,沧州市,130900,河北省,东部,0,10931,1213,7545,2173,9106,210,6722,2174,
262,2021,沧州市,130900,河北省,东部,0,10906,1206,7424,2276,11081,378,8290,2413,
263,2022,沧州市,130900,河北省,东部,0,10247,1388,6514,2345,11717,678,8521,2518,
264,2023,沧州市,130900,河北省,东部,0,5945,1619,2743,1583,8944,1030,5629,2285,
265,2000,廊坊市,131000,河北省,东部,0,208,47,115,46,165,7,108,50,
266,2001,廊坊市,131000,河北省,东部,0,265,48,133,84,179,10,127,42,
267,2002,廊坊市,131000,河北省,东部,0,276,45,151,80,223,8,124,91,
268,2003,廊坊市,131000,河北省,东部,0,357,46,145,166,285,27,150,108,
269,2004,廊坊市,131000,河北省,东部,0,273,44,131,98,306,29,116,161,
270,2005,廊坊市,131000,河北省,东部,0,345,57,197,91,208,24,128,56,
271,2006,廊坊市,131000,河北省,东部,0,418,73,212,133,272,14,181,77,
272,2007,廊坊市,131000,河北省,东部,0,468,90,228,150,395,16,241,138,
273,2008,廊坊市,131000,河北省,东部,0,616,166,324,126,414,23,266,125,
274,2009,廊坊市,131000,河北省,东部,0,986,282,478,226,556,53,358,145,
275,2010,廊坊市,131000,河北省,东部,0,1099,301,568,230,907,47,573,287,
276,2011,廊坊市,131000,河北省,东部,0,1212,357,667,188,973,90,622,261,
277,2012,廊坊市,131000,河北省,东部,0,1712,389,838,485,1172,126,719,327,
278,2013,廊坊市,131000,河北省,东部,0,1833,367,881,585,1649,165,933,551,
279,2014,廊坊市,131000,河北省,东部,0,2694,567,1299,828,2004,144,1157,703,
280,2015,廊坊市,131000,河北省,东部,0,3432,760,1748,924,2968,291,1701,976,
281,2016,廊坊市,131000,河北省,东部,0,4360,951,2128,1281,3029,333,1710,986,
282,2017,廊坊市,131000,河北省,东部,0,5995,1370,2980,1645,3515,439,1793,1283,
